"velocity_vectors:0","velocity_vectors:1","velocity_vectors:2","another_vector_set:0","another_vector_set:1","another_vector_set:2","EinLustigerSkalar","Points:0","Points:1","Points:2"
-0.67351,0.38526,0.63084,-6.7351,0.77051,0.63084,1,4.5e-008,6.5e-008,2.5e-008
-0.28306,0.36612,0.88647,-2.8306,0.73224,0.88647,1,3.5e-008,8.5e-008,2.5e-008
-0.41909,0.31178,0.85273,-4.1909,0.62356,0.85273,1,4.5e-008,8.5e-008,2.5e-008
0.16523,-0.71671,-0.67751,1.6523,-1.4334,-0.67751,1,3.5e-008,9.5e-008,2.5e-008
-0.27987,0.22371,0.93361,-2.7987,0.44743,0.93361,1,4.5e-008,9.5e-008,2.5e-008
-0.038138,0.96849,0.24612,-0.38138,1.937,0.24612,1,4.5e-008,5.5e-008,2.5e-008
-0.83413,0.21545,0.50775,-8.3413,0.43089,0.50775,1,5.5e-008,6.5e-008,2.5e-008
0.70684,-0.69812,0.11407,7.0684,-1.3962,0.11407,1,5.5e-008,5.5e-008,2.5e-008
-0.78109,0.19017,0.59475,-7.8109,0.38035,0.59475,1,5.5e-008,7.5e-008,2.5e-008
-0.6609,0.15398,0.73451,-6.609,0.30797,0.73451,1,5.5e-008,8.5e-008,2.5e-008
-0.48228,0.10934,0.86916,-4.8228,0.21868,0.86916,1,5.5e-008,9.5e-008,2.5e-008
-0.23619,0.16952,0.95681,-2.3619,0.33904,0.95681,1,4.5e-008,1.05e-007,2.5e-008
-0.34272,0.069885,0.93684,-3.4272,0.13977,0.93684,1,5.5e-008,1.05e-007,2.5e-008
-0.92999,-0.0017312,0.36759,-9.2999,-0.0034624,0.36759,1,6.5e-008,6.5e-008,2.5e-008
0.22423,-0.43582,0.87166,2.2423,-0.87163,0.87166,1,6.5e-008,5.5e-008,2.5e-008
-0.91786,-0.023387,0.39622,-9.1786,-0.046774,0.39622,1,6.5e-008,7.5e-008,2.5e-008
-0.86132,-0.0024155,0.50807,-8.6132,-0.0048309,0.50807,1,6.5e-008,8.5e-008,2.5e-008
-0.72107,0.020041,0.69257,-7.2107,0.040083,0.69257,1,6.5e-008,9.5e-008,2.5e-008
-0.55057,0.010582,0.83472,-5.5057,0.021164,0.83472,1,6.5e-008,1.05e-007,2.5e-008
-0.96554,-0.15781,0.20697,-9.6554,-0.31562,0.20697,1,7.5e-008,7.5e-008,2.5e-008
-0.96158,-0.12508,0.24437,-9.6158,-0.25017,0.24437,1,7.5e-008,6.5e-008,2.5e-008
-0.96666,-0.04924,0.2513,-9.6666,-0.09848,0.2513,1,7.5e-008,8.5e-008,2.5e-008
-0.89051,0.03959,0.45324,-8.9051,0.079181,0.45324,1,7.5e-008,9.5e-008,2.5e-008
0.62122,0.17563,0.7637,6.2122,0.35126,0.7637,1,8.5e-008,7.5e-008,2.5e-008
0.29768,-0.74675,-0.59476,2.9768,-1.4935,-0.59476,1,8.5e-008,6.5e-008,2.5e-008
-0.9987,-0.049576,-0.01189,-9.987,-0.099153,-0.01189,1,8.5e-008,8.5e-008,2.5e-008
0.48446,0.69146,-0.53588,4.8446,1.3829,-0.53588,1,8.5e-008,9.5e-008,2.5e-008
-0.89048,0.028609,-0.45412,-8.9048,0.057217,-0.45412,1,9.5e-008,7.5e-008,2.5e-008
-0.75331,0.0046082,-0.65764,-7.5331,0.0092163,-0.65764,1,9.5e-008,6.5e-008,2.5e-008
-0.96145,-0.063396,-0.26759,-9.6145,-0.12679,-0.26759,1,9.5e-008,8.5e-008,2.5e-008
-0.96095,-0.15294,-0.23062,-9.6095,-0.30588,-0.23062,1,9.5e-008,9.5e-008,2.5e-008
0.90407,0.29209,0.31198,9.0407,0.58419,0.31198,1,9.5e-008,5.5e-008,2.5e-008
-0.5398,0.017047,-0.84162,-5.398,0.034095,-0.84162,1,1.05e-007,6.5e-008,2.5e-008
0.9328,-0.0017687,0.36039,9.328,-0.0035374,0.36039,1,1.05e-007,5.5e-008,2.5e-008
-0.71613,0.025024,-0.69752,-7.1613,0.050048,-0.69752,1,1.05e-007,7.5e-008,2.5e-008
-0.85394,0.0095299,-0.52029,-8.5394,0.01906,-0.52029,1,1.05e-007,8.5e-008,2.5e-008
-0.91051,0.00077759,-0.41349,-9.1051,0.0015552,-0.41349,1,1.05e-007,9.5e-008,2.5e-008
-0.95769,-0.1018,-0.26918,-9.5769,-0.2036,-0.26918,1,9.5e-008,1.05e-007,2.5e-008
-0.92308,0.028857,-0.38353,-9.2308,0.057715,-0.38353,1,1.05e-007,1.05e-007,2.5e-008
-0.33057,0.084675,-0.93997,-3.3057,0.16935,-0.93997,1,1.15e-007,6.5e-008,2.5e-008
0.61903,0.11938,-0.77624,6.1903,0.23875,-0.77624,1,1.15e-007,5.5e-008,2.5e-008
-0.47479,0.1317,-0.87019,-4.7479,0.2634,-0.87019,1,1.15e-007,7.5e-008,2.5e-008
-0.65021,0.18278,-0.73744,-6.5021,0.36557,-0.73744,1,1.15e-007,8.5e-008,2.5e-008
-0.76722,0.22219,-0.60167,-7.6722,0.44439,-0.60167,1,1.15e-007,9.5e-008,2.5e-008
-0.82047,0.24318,-0.51739,-8.2047,0.48635,-0.51739,1,1.15e-007,1.05e-007,2.5e-008
-0.27589,0.24506,-0.92943,-2.7589,0.49012,-0.92943,1,1.25e-007,7.5e-008,2.5e-008
-0.22978,0.1918,-0.95416,-2.2978,0.3836,-0.95416,1,1.25e-007,6.5e-008,2.5e-008
-0.41156,0.33552,-0.84737,-4.1156,0.67104,-0.84737,1,1.25e-007,8.5e-008,2.5e-008
-0.55415,0.39828,-0.73095,-5.5415,0.79657,-0.73095,1,1.25e-007,9.5e-008,2.5e-008
-0.68039,-0.72962,0.068655,-6.8039,-1.4592,0.068655,1,3.5e-008,6.5e-008,3.5e-008
-0.15231,-0.041321,0.98747,-1.5231,-0.082641,0.98747,1,3.5e-008,7.5e-008,3.5e-008
-0.42784,0.20624,0.88001,-4.2784,0.41247,0.88001,1,4.5e-008,7.5e-008,3.5e-008
-0.55587,0.20998,0.80431,-5.5587,0.41997,0.80431,1,4.5e-008,6.5e-008,3.5e-008
-0.19352,0.22171,0.95571,-1.9352,0.44343,0.95571,1,3.5e-008,8.5e-008,3.5e-008
-0.27333,0.17666,0.94556,-2.7333,0.35332,0.94556,1,4.5e-008,8.5e-008,3.5e-008
0.59332,-0.13245,0.79399,5.9332,-0.2649,0.79399,1,3.5e-008,9.5e-008,3.5e-008
-0.14491,0.15111,0.97784,-1.4491,0.30223,0.97784,1,4.5e-008,9.5e-008,3.5e-008
0.28462,0.3666,0.88577,2.8462,0.73321,0.88577,1,4.5e-008,5.5e-008,3.5e-008
-0.72527,0.080961,0.68369,-7.2527,0.16192,0.68369,1,5.5e-008,6.5e-008,3.5e-008
0.15399,-0.97488,-0.16092,1.5399,-1.9498,-0.16092,1,5.5e-008,5.5e-008,3.5e-008
-0.63425,0.052178,0.77137,-6.3425,0.10436,0.77137,1,5.5e-008,7.5e-008,3.5e-008
-0.46993,0.048003,0.8814,-4.6993,0.096006,0.8814,1,5.5e-008,8.5e-008,3.5e-008
-0.27745,0.063043,0.95867,-2.7745,0.12609,0.95867,1,5.5e-008,9.5e-008,3.5e-008
-0.098612,0.13923,0.98534,-0.98612,0.27845,0.98534,1,4.5e-008,1.05e-007,3.5e-008
-0.15104,0.073418,0.9858,-1.5104,0.14684,0.9858,1,5.5e-008,1.05e-007,3.5e-008
-0.85981,-0.10562,0.49958,-8.5981,-0.21124,0.49958,1,6.5e-008,6.5e-008,3.5e-008
0.3494,0.88667,0.30288,3.494,1.7733,0.30288,1,6.5e-008,5.5e-008,3.5e-008
-0.82725,-0.13763,0.54472,-8.2725,-0.27526,0.54472,1,6.5e-008,7.5e-008,3.5e-008
-0.72702,-0.096577,0.67979,-7.2702,-0.19315,0.67979,1,6.5e-008,8.5e-008,3.5e-008
-0.5224,-0.025216,0.85233,-5.224,-0.050431,0.85233,1,6.5e-008,9.5e-008,3.5e-008
-0.3183,0.013614,0.94789,-3.183,0.027228,0.94789,1,6.5e-008,1.05e-007,3.5e-008
-0.93017,-0.24531,0.27314,-9.3017,-0.49062,0.27314,1,7.5e-008,7.5e-008,3.5e-008
-0.92513,-0.21055,0.31591,-9.2513,-0.4211,0.31591,1,7.5e-008,6.5e-008,3.5e-008
-0.92626,-0.13249,0.35284,-9.2626,-0.26498,0.35284,1,7.5e-008,8.5e-008,3.5e-008
-0.78772,-0.024372,0.61556,-7.8772,-0.048743,0.61556,1,7.5e-008,9.5e-008,3.5e-008
